LIVYA — DIET CHART,,,,,,,,
Client,Rajesh Menon,,,,,,,
Calories,1988,,,,,,,
Protein,117,,,,,,,
,,,,,,,,
Meal,Time,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Early Morning,6:30,Lukewarm water + lemon,Lukewarm water + lemon,Methi water,Lukewarm water + lemon,Jeera water,Lukewarm water + lemon,Lukewarm water + lemon
Breakfast,8:30,2 idli + sambar + 1 boiled egg,Vegetable poha + curd,Besan chilla (2) + mint chutney,Oats upma + 1 boiled egg,Ragi dosa (2) + chutney,Egg white omelette + 2 toast,Moong dal chilla + curd
Mid-Morning,11:00,1 orange,Buttermilk,10 almonds,1 apple,Buttermilk,Roasted chana 30 g,Fruit bowl
Lunch,1:30 PM,2 phulka + dal + bhindi + salad,2 phulka + rajma + salad,1 cup rice + sambar + poriyal,2 phulka + chana + curd,2 phulka + fish curry,1 cup rice + dal + sabzi,Family lunch - 1 plate only
Evening,4:30 PM,Green tea + 5 walnuts,Green tea,Green tea + roasted chana,Green tea + 1 pear,Green tea,Green tea + 10 almonds,Green tea
Dinner,7:30 PM,Grilled fish 150 g + salad,Chicken curry + 2 phulka,Paneer bhurji + 1 phulka,Grilled chicken + veggies,Egg curry + 1 phulka,Vegetable soup + fish,Khichdi + curd
Bed Time,9:30 PM,Warm milk (no sugar),Warm milk (no sugar),Warm milk (no sugar),Warm milk (no sugar),Warm milk (no sugar),Warm milk (no sugar),Warm milk (no sugar)
,,,,,,,,
Favour,"Eggs, fish, chicken, paneer, curd, dals"
Limit,"Fruit juice, bakery, deep-fried snacks"
Notes,Four eating occasions with roughly 30 g protein at each.
